测试套/软件包名,测试用例名,状态,日志文件,原因
pbzip2,oe_test_pbzip2_03,fail,./mugen-riscv/logs/pbzip2/oe_test_pbzip2_03/2023-09-02-20_04_11.log,
os-basic,oe_test_server_openssh_key,fail,./mugen-riscv/logs/os-basic/oe_test_server_openssh_key/2023-09-01-11:09:56.log,timeout
,oe_test_expect,fail,./mugen-riscv/logs/os-basic/oe_test_expect/2023-09-01-12:36:22.log,
,oe_test_server_openssh_restart,fail,./mugen-riscv/logs/os-basic/oe_test_server_openssh_restart/2023-09-01-12:31:53.log,
,oe_test_power_powertop_startup,fail,./mugen-riscv/logs/os-basic/oe_test_power_powertop_startup/2023-09-01-11:12:06.log,
,oe_test_envsubst,fail,./mugen-riscv/logs/os-basic/oe_test_envsubst/2023-09-01-12:12:43.log,preinstall absent
,oe_test_nmcli_Mgntconnect,fail,./mugen-riscv/logs/os-basic/oe_test_nmcli_Mgntconnect/2023-09-01-11:05:14.log,Broken testcase
,oe_test_nmcli_8023link,fail,./mugen-riscv/logs/os-basic/oe_test_nmcli_8023link/2023-09-01-11:14:11.log,Broken testcase
,oe_test_nmcli_con_reload,fail,./mugen-riscv/logs/os-basic/oe_test_nmcli_con_reload/2023-09-01-12:52:18.log,Broken testcase
,oe_test_nmcli_route,fail,./mugen-riscv/logs/os-basic/oe_test_nmcli_route/2023-09-01-12:38:29.log,Broken testcase
,oe_test_ethtool,fail,./mugen-riscv/logs/os-basic/oe_test_ethtool/2023-09-01-11:09:15.log,Broken testcase
,oe_test_net_ncat,fail,./mugen-riscv/logs/os-basic/oe_test_net_ncat/2023-09-01-11:07:38.log,file missing/timeout
,oe_test_nmcli_add_connect,fail,./mugen-riscv/logs/os-basic/oe_test_nmcli_add_connect/2023-09-01-13:30:49.log,Broken testcase
,oe_test_nmcli_vlan,fail,./mugen-riscv/logs/os-basic/oe_test_nmcli_vlan/2023-09-01-11:05:29.log,Broken testcase
,oe_test_kernel_kdump,fail,./mugen-riscv/logs/os-basic/oe_test_kernel_kdump/2023-09-01-12:20:17.log,preinstall absent
,oe_test_system_log_view,fail,./mugen-riscv/logs/os-basic/oe_test_system_log_view/2023-09-01-12:36:35.log,preinstall absent
,oe_test_server_httpd_port,fail,./mugen-riscv/logs/os-basic/oe_test_server_httpd_port/2023-09-01-11:45:26.log,
,oe_test_disk_tuned_set,fail,./mugen-riscv/logs/os-basic/oe_test_disk_tuned_set/2023-09-01-11:42:55.log,file missing/timeout
,oe_test_nmcli_bridge,fail,./mugen-riscv/logs/os-basic/oe_test_nmcli_bridge/2023-09-01-12:45:49.log,Broken testcase
,oe_test_nmcli_macsec,fail,./mugen-riscv/logs/os-basic/oe_test_nmcli_macsec/2023-09-01-11:10:11.log,Broken testcase
,oe_test_nmcli_config_gw,fail,./mugen-riscv/logs/os-basic/oe_test_nmcli_config_gw/2023-09-01-11:07:24.log,Broken testcase
,oe_test_system_monitor_login,fail,./mugen-riscv/logs/os-basic/oe_test_system_monitor_login/2023-09-01-12:08:20.log,preinstall absent/timeout
,oe_test_net_setmode,fail,./mugen-riscv/logs/os-basic/oe_test_net_setmode/2023-09-01-12:49:51.log,Broken testcase
,oe_test_net_IPVLAN,fail,./mugen-riscv/logs/os-basic/oe_test_net_IPVLAN/2023-09-01-12:31:38.log,Broken testcase
,oe_test_awk,fail,./mugen-riscv/logs/os-basic/oe_test_awk/2023-09-01-12:18:18.log,
,oe_test_python3-kmod,fail,./mugen-riscv/logs/os-basic/oe_test_python3-kmod/2023-09-01-13:31:19.log,file missing
